,Label,Text,UID
20,0,हराम खोर लोग उल्टा चोर कोतवाल को डांटे !! Mulk torney की बात करने वाले को और फूलों के हर pehn  ,5433
21,2,RT army फिन Also Stade de France is preparing for the concert . Looks so बेऔतिफु !smiling face with heart-eyes See their post on Instagram ,23492
22,2,जय श्री राम जरुरत नहीं आंदोलन की गुरूजी मोदी h तो मुम्किंन ह Pls trust our PM,13515
23,1,फिर से लूट चालू हो गया बीजेपी वालो तुम्हे कुछ छूट मिल रहा है या नहीं मिलना तो चाहिए क्यू ki  ,34678
24,1,जिनको खुद नहीं पता की रामचरि क्या है वो भेज रहे ः BJP नेता को पहले खुद समझना चाहिए f  ,11310
25,0,अबे यही है राम राज्य क्या जिसमे सभी सेल हरामी हो जो सेल इतने बेरहम से मार रहे हो मोदी देखना बे सेल तेरे  ,27883
26,1,हस मय्बे I'll faing and I won't feel a thing .,16679
27,1,दुनिया में दिल कोई कभी न दड़का होता ददखा है दिल ा यार मिल ये प्यार का इज़हार है कहो न प्यार है दो प्रेमी दो p  ,26920
28,0,I'm poor poor-ever happy कैसे गोद is with में,35982
29,2,मैडम जी we always miss you as a मंत्री,14603
30,2,शर्मा Saw the episode . Nice ओने सर . मान गए यार शर्मा सर आप बहुत हिम्मत व  ,37801
31,2,Happy Birthday Doctor साहब भगवान् आपको खुश or swasth रखे और आप हमे ऐसे ही अपनी creativity से हंसाते रहे,18824
32,0,तेरी कीमत डोकोडी की हो गयी ... अमित शाह will capture telegana soon ... kcr will resign ...,21543
33,2,एक भे poj भाई वाला महे है सब चिपका कर रखी है यह भाई बहन का प्यार है .. ,19116
34,0,ममता Banerjee न जाने हो क्या है तुमको ये देश राम का है हार का घुम म डूबी हो बस b  ,44557
35,1,स्टिल far better than MMS govt ... so if ु र so connected with numbers and economy .... can u शेयर your  ,2359
36,1,चंदा make a gentle and nice relation with someone .... लाइफ में किसी क सहारे की ज़रूरत पड़ती है,1445
37,1,चंदा should ी hope fr the best - D,5440
38,1,वो हूँ Cricket World Cup starts today ! Good लक to hosts in the tournament - hope for a good st  ,7229
39,1,Family background का केह नि सक्ते कॉज कई लड़कियां फेक नाम साई िदश बनती ह n pics upload करती बिना घर वालो की इजाज़त क,27364
40,2,Mp साहब dr मनोज राजोरिया ग को जीत की हार्दिक सुभ्कम्न,40382
41,0,कोई अपना नहीं घूम क maare murdered raped fucked shredded to bits है हम ~,27897
42,2,Back to 100% अगेन !! करते चोप्पड़ ठाट कोल्ड क्विकली . Feels good तो फील गुड * वाआग *,35758
43,1,RT सादजी किसी ने भेजा ह आपके लिए ,38461
44,2,गडकरी सर् बधाई हो सर आगरा के मेयर को समझाओ कुछ करे .... मोदीजी राज इस ..... रामरज .... बूत ... ,32467
45,1,रत थिस painting has 40 famous Indian ads hidden in it . 1) Which is तने favourite symbol of an ad you can spot ? 2) Anyone k ,33309
46,0,ी ’ m सो फकन पिस्ट I lost my damn YSL shades,10989
47,2,ी give Araki a lot of credit for हाऊ कुछ detail and work goes to making his characters Then again hes been at it  ,18753
48,2,मोदी जी ये सब तो होता रहेगा लेकिन पहले राम मंदिर बनवाओ ... धरा 370 हटाओ .. Hindurastra घोसित करवाओ ... Logo  ,25483
49,2,पागल कुत्ते के सामने रोटी डालना सही नहीं है यह शोले में ठाकुर साब बोलके गये the logbog 50 साल p  ,13396
50,2,RT िम सो PROUD ऑफ़ यू !!!! ई लव यू .. congratulations to यू + all your homies ! ,7897
51,0,Muslims muslims muslims जब मुसलमा को ही उनकी खुदकी इज़्ज़त की खुद के देश की खुद के होने की खुद की नस्लों की  ,26915
52,0,हद्द है कमीने पन की आपको पता है ये केव ' जेल ' गया है ये बिना आर्डर ke railway platform pa  ,8238
53,0,It's not विश्वास थत ु guys want .. इतस मोदिजि थत ु डोंट वांट .. Even if God comes and tel  ,28701
54,1,Party and candidate's nahi देखे होंगे बस मोदी को जितना हे कर के वोट दिए,40128
55,2,न्ही ग हम आप की तरह नही हे पटवारी की ओलाद हम Pakistani he और Pakistan सय प्यार कृत्य . H  ,14505
56,0,तुम कभी नहीं सुधरोगे fact check फिर बात कर चूतिये,22273
57,1,जय श्री राम हज़ turned out to be the वन्दे Mataram of the दय !  ,35558
58,1,best wishes for world cup and ईद मुबारक to you फ्रॉम मुज़फ्फर हसन National general secretary LJP  ,8199
59,1,आर्थिक मदद नहीं वॉ Pakistan की आवाम का हक़ था . और यह RSS ke propoganda publication अपने पास ही रखो .,2144
60,1,ये काफी है की हम दुश्मन नहीं हैं Wafa'dari का दावा क्यों करें हम – thinking about Something,23844
61,0,Actually इनके पास अब नाज़ करने के लिए कुछ बचा ही नहीं है तो हक़ीक़त पसंद ban  ,8910
62,1,RT No ओने में तरीना find the perfect watermelon ,33576
63,1,match ज़रूर देखना दुःख फ्र झलना ये खेल है टैलेंट का न पर्चियों का baserra,28206
64,2,He sort of like caused my लव for Pomeranians here is a picture of her with her chew toy in her litt  ,32666
65,2,awwwie thank यू लौ . गुड morning ?,26044
66,0,RT You mean our problem was being democratic ? विवेक तुम जो कटोरी मैं attention की भीख मांग रहे हो उसपे खून लगा है .,19034
67,2,Greetings to dearest friend shri ji on their birthday माँ आशापुर ब्लेस्स you with lots of love happ  ,13152
68,2,रत वांदा In this month of Ramadan all my positive heart desires and prayers for my family and friends will be granted . इंशा अल्लाह ,17992
69,1,RT मारवाडी रोशन ोये रोशन मेह JCB की खुदै देख क आया रोशन ,23129
70,1,& आल d other  ,15581
71,1,RT spotter ये सिर्फ पौराणिक कथाओं में पायी जाती थी वास्तवि से इसका कोई सम्बन्ध नहीं है,8604
72,1,RT BJP leader Vishwas सारंग in भोपाल तबादला udyog Congress की सर्कार में फैल रहा है विधायक इस व्यापर के केन्द्राबि पर ह ,20097
73,1,तुम apny Indian की फिक्कर करो पाकिस्तान को हम खुद dykh lyngy . मुक्ति बहिनी 2 नहीं ban  ,5225
74,2,ूप की सर्कार जिसकी बुन्याद पे तिकी ह वो आज अपने . मुकाम पे पहुँच गयी .... लघुसन की देरी ः फिर  ,31039
75,2,अलविदा JUMMA-2019 मुबारक तो आल ... दुआ की गुज़ारिश ..... ,41953
76,1,सर ये मोदी के नाम पर वोट पड़ा ह आप कभी औ यमुना नगर की Rajiv garden bank calony में देखो लोगो का  ,43996
77,2,जयदा ज्ञान न पेलो और डेमोक्रैस का मजाक उड़ाना बंद करो थोड़ा competition देते और ये बात बोलते तो thi  ,18866
78,2,खान भाई अंकुश खुश रहो ! I'll pray for ु .. सोज़ I क्नोव नफ़रत से कभी किस  ,28950
79,1,Now this ी टू मच अब सारे ट्वीट अरसल के support में जब जिया का मन नही एंड वो चाय नही बना सकती यासित के liy  ,36545
80,0,जाज़ साब को सालो साल के pending case को सौलतिओं में मज़ा नहीं आता * इनको to public paise monthly केस मिलजाए *,2745
81,2,RT पापाजी धन धन सतगुरु तेरा ही आसरा गुड morning जी मुगजी तू ,38245
82,1,• She is not a बची piece or माल • शी is ( रेहमत ),31302
83,1,RT मत कहो दिल से तो नहीं हो और वैसे शकल का तो मझे पता नहीं बूत ऐसा kch मटेर नहीं करता ,11709
84,2,thx to every single memer for making our day ु गाइस r amazing जिन्दाबा  ,20225
85,1,RT Non-stop hoga entertainment par कौन देगा performance सबसे बेस्ट ? Watch out for Sat-Sun 9 PM . ,34859
86,0,हेरे तो फिर जो आतंकवाद उसकी जात मुस्लमान क्यू होती और जो all ready मुस्लमान ह वह यह बात q  ,42434
87,1,तुम हमे यूँ भुला न पाओगे .... ,23986
88,2,Soul Tony stark का दिल तोह ये लेके घूम रहा है,37553
89,0,गुंडे साले ..... ै hall में बैठ क ंत bhonk बे योगेन्द्र aukat ह to Gurgaon क किसी एक बंदे का c  ,4443
90,1,Bengal बीजेपी में तमस के कुछ ग़लत नेता अपने एप्प को बचने को जोगदान कर रहे हे इससे पार्टी का support barne के बज  ,37414
91,2,रत ी ’ m actually not that arsed about Liverpool winning it good on them . The Premier League joke still stands they already had m ,26700
92,2,हैप्पी बर्थडे pretty girl thank u for all the good agnes memories . cards soon ? हाहाहाहा एन्जॉय your day !!!! ,19318
93,0,जन शर्म और हया की क़ीमत लगवाई है इस लिए to इस कुत्ते को ये seat miliy ... हर हकूमत क talway chatny वाला है ये,19685
94,1,सर लाइफ का एक सपना है कभी किसी दिन आप से एक मुलाकात करना लोग नेताओं क फैन होते हैं मै आप का  ,16219
95,2,रत thank you dear Shahrukh for योर love and encouragement,14905
96,2,मेरे भाई यह शरीयत तो पहले से ही इंडिया मई सिर्फ मुस्लिम्स के लियह है और रहेगी इन्शाल्ला . ,13262
97,2,superb look very handsome ,33719
98,0,or बोहत पख्तूनों को Pashtunistaan का नशा चढ़ा हुआ है आज कल होश में आ जाओ वरना सच की मार् पढ़े गए इस bar,30635
99,2,धूप आरती श्री Sai बाबा मंदिर शिर्डी 31 में 2019 बाबा Bless all with all the happiness of the वर्ल्ड ॐ साई राम  ,26753
100,2,Amit शाह जी please Jet Airways ke employee ke बारे में कुछ करिये परिवार वाले बहुत परेशान है भूखे मर रहे हैं,9677
101,0,abroad property रख कर छूपने wal respectfull hota हे ... अकाम ने पनामा ... Harami वसीम अब्बासी,20043
102,2,Respected rahul सर dont disappoint you ु र a great leader आप की सोच आप  ,27049
103,2,same did you watch the बेट ों में परफ ?? थे choreo is kinda sexy but it fit Shihyun so much,19215
104,2,जय बजरंग Bali ,4647
105,1,Good वाला तो सही h थोरा बट बद का last अजीब ः,41076
106,0,हरामज़द हमारे टुकड़ो पे पलता है हमें आँख दिखाता है ... कुत्ते तू पागल हो गया  ,4034
107,2,RT हाय ..... एंट्री हो तोह ऐसी ..... बेस्ट part of today's episode !! ,25360
108,0,SSidhu िन्द Inse न हो पाएगा,33442
109,1,माय 12 year old declared her record of watching बादशाह on TV50 times . Claims to be your biggest fan . She do  ,24139
110,0,नहीं मूत sorry health department sare hospital बंद करो सब को पहले घर का gaumutra दो सब bimari  ,18846
111,2,मैं प्रियंका प्रकाश मोदी दादा की पोती ..... मैं उनसे कहना चाहती हूँ की इस बार मेरे दादा ye v सपाट ले की दहेज़  ,29030
112,2,RT It's not easy to make it easy लव ु bhaji हाँजी कीड़ा लागय मूवी जिना न्य नह ,22594
113,1,सर ये इलेक्शन कमिसिओ को गली नै de रहे ये govt Employee ko गली de रहे Jo election करता है,12417
114,0,तू बहुत पीटेगा एक दिन बे चूतिये .... सेल तेरी हिम्मत कैसे हुई voters ko इडियट्स बोलने की ..... अबे उजड़े  ,31335
115,1,hi pmo गुड morning मोदी जी से एक बिनती है हम लोग फेसबुक पे उनके लिए दिन रात लगे रहे मोदी जी क par  ,39578
116,2,रत ( सलमान खान ) (heavy multiplication x ╭╮heavy multiplication x ) बेस्ट fight (heavy multiplication x ╭╮heavy multiplication x ) scene 〣( ºΔº )〣 movie ~ See Instagram photo by (heavy multiplication x ╭╮heavy multiplication x )TOP arrow ,36320
117,0,मदेर्चोद भारतए सैनिक लिखता ः ..... हरामी औलाद हिन्दू होग्या बीएस देश भक्त हो गया किसी भी गली तेरी may  ,14490
118,1,शतरं अरे ये मेरी दीदी depressed Ho गयी बेचारी चलो 5 दिन में रर तो बंद होगा और ये tweets कुकी mjh  ,7639
119,1,RT चलो goiz 1000 followers होगये हैं अब मुझी उनफ़ोल्लोव mt krna वरना अल्लाह pochy गे तुम लोगो को मुस्लमानो जिसको फॉलो बा ,37806
120,1,रत Google isn ’ t your best friend when यु ’ re sick belie वालीए हैईईई,27128
121,2,नरेंद्र दामोदर मोदी जी आल the best Vadnagar के कमलका बंशीवा शुभ हो आपका े jatra,18904
122,1,talented as you ! ी thank god for creating such a perfect and generous person I pray that you will continue to b  ,1681
123,1,सच कह रहा है दीवाना दिल दिल न किसी से लगाना . झूठे है प्यार के वादे सरे झूठी है प्यार की कसमें  ,28730
124,1,ओड़ीशा Thanks सर हमारा उमीद ाही हे जय जगन्नात swami,1936
125,1,पुबज नि खेलता टिकटोक उसे नइ करता सुता नि लगता Girlz ko DM नि करता Will this society accept me ?,10559
126,2,नमस्कार सर जी . मेरे और से आप को एक रेकुस्त है लखनपुर से सतवारी चौक तक street light का का  ,15663
127,0,जो बीजेपी के साथ नहीं वह atankwadi h आओर जो हिन्दू आरएसएस के साथ नहीं वह देशद्रोह है आज कल b  ,22673
128,2,सब्दो के मरहम से ये गहरा जख्म दूर नहीं होगा . इन बच्चों और बच्चियों को भवभीन सरधज और पारी  ,17068
129,1,रत ी'म सॉरी ई कैन'टी say that Tailor ny ईद के कपड़े खराब कर दिए हैं,16439
130,0,सोच ः इन लोगो की घटिया जो गरीबों को मार rah  ,24809
131,1,मोदी जी इ जिसके पास ज़मीन हैउसे तो आप किसान सम्मान निधि योजना दिया 6000 सालाना देने का  ,12827
132,1,Thank you so मच दातो inshallah will celebrate the 6th star टुनाइट,6161
133,1,"RT लंदन ज्वाइन us tomorrow for the opening night of our new exhibition "" Networks of Knowledge "" showcasing the institute ’ s Library and ",20134
134,0,Tum चुटिया हूँ gandu cogress ..... हरने वाली थिस सुब को पता था इतने बुटी तरह हार्नेगी नहीं पता है लवदे,18960
135,2,अरे भाऊ इस bar budget काम हैं न Lonavla se direct goregaon filmcity mein सेट लगा हैं,2018
136,0,manniya गोयल जी Avdhesh duby को जेल में डाल दिया .. कृपया टरैनो मैं जो tte nd police ने जो लूट m  ,42965
137,1,ो Saurus ी get the intended joke it ’ स जस्ट not funny . Not my sense of humour anyway those crazy kids,21441
138,1,ाह ! This is so cute ई लव these two,32574
139,1,Jai श्री राम ममताजी प्रणाम आप सीन मुख्या मंत्री bank थे आशीर्वा जय श्री राम,617
140,2,अभी वौइस् कीर ई proud where I'm from लव यू मोदी ji finally you make digital india,20345
141,1,'' बातें खत्म ही न होती '' तो '' बात ही न होती '' वाली journey is less hurting than when they ask you to leave for no reason .,39591
142,0,ो हेलो कौन हो आप व्हाट is your identity out side west Bengal Through out the country and in the  ,7613
143,0,Pramod तुम को ाचार्य की पदवी किस ने दी . गधे को ाचार्य नहीं बोल सकते . तुमको तो ये एक किस्सा mal  ,38713
144,2,भाई अजय didn ’ t have good last few movies point taken is doing great with continuous  ,35265
145,1,सर मेरी वाइफ को 1hafta हो गया hospital के चक्केर लगते आबि tk doctor ने कोई मेडीसिन नही दी और  ,15010
146,0,Kutty हरामी नमक हरामी गोऊ back to afgan,34399
147,0,ंप me govt कमलनात की h ... Wese एक or video viral ः जिसमें आपके शान्तिदू भाई एक दुकानदार  ,266
148,0,बेशरम कितना बार तप्पड़ कयेगा ! तुमारा anti national हिन्दू मुस्लिम दुकान भंड होगया ! बंट  ,16713
149,0,फेक video . अन्ध भक्तस are forced to circulate to increase popularity rate .,28907
150,2,लव the smell of air back at होम !,22798
151,1,हेलल येह ! Does this mean Pepsi Vanilla is coming back ? I miss it so much !,26042
152,1,दिग्विजय जी को तो ऐसे ही चुनाव में हारने का टेंशन अब दूसरा भी टेंशन दे गया is संत ने वो ये की  ,36095
153,2,RT She's So हैप्पी ,23804
154,0,airport विमलेश जी .. यह अपना वादा नहीं निभा रहे . पहले कहा की .. िफ़ u purchase any land will be stamp dut  ,14239
155,1,अब हमारी रक्षा तो भगवन ही कर सकता है क्यू की जहाँ का सिस्टम & सर्कार ही आरोपियों को बचा rah  ,21196
156,2,Congratulations Hon . Prime Minister on your victory . We want ur back न now finally ur back with प्रचंड बहुमत,34663
157,0,इसका तोह कोई भी वीडियो या ऑडियो देखना ही नहीं है ... बेवक़ूफ़ आदमी है ये ... इसने  ,29280
158,0,रत & वतफ are pretty eyes ? आईज अरे फूकिंग आईज . This video is actually so annoying imagine what other ignorant shit she be s ,31391
159,1,12 दिन बाद Iqbal k शहीनो को Advance ईद msg send करने का धोरा पर जना,37666
160,2,तुम अपनी तरफ आने वाली तकलीफों को अपने गुनाहों की सजा मत समझना मेरा अल्लाह बोहत मेहरबान है वो बदले नहीं l  ,14014
161,0,BC light काट दी अभी तोह शुरू भी नहीं हुआ match ... ऊपर से गर्मी ने अलग मार रखी है .,40785
162,1,राहुल Gandhi को चौकीदा चोर है का नारा बहुत भारी पड़ गया कूकी वो खुद bail  ,20844
163,0,RT Stuffs Salman will continue to fuck योर चिन्दीवा फ़िल्म्फरे सो best of luck to you तू मोठे bhains ,24005
164,1,ये साजिश हो सकती है बहुत बड़ी इसे हलके न ले .. सर्कार और सेना दोनों .. क्यों बोला उसने ऐसा इसको गिरा  ,39372
165,2,No one better than सर्क हिज charm his personality his स्वाग एक yessa हीरो जिसकी विलन role सबसे जायदा popular hoti  ,23837
166,0,सर ये उनकी आदत मे शुमार भयकोट se media or देशवासी को भी पता चलेगक गन्दी नाली क  ,23830
167,0,क्यों की ये उस रावण की तरह है जो अपने आप को ही भगवान समझने लगी है ऐसे लोगो k  ,42705
168,0,तू वाक़िए BOHT ब्रा हरामी ही नहीं बुल क वाल्डो ज़िना की पैदावा है - तेरी मान भी तंगज TH  ,39643
169,2,Congratulations To our Hounarble prime minister श्री नरेंदर damoder dass मोदी जी ! हम सभी भारत वासी यही kaman  ,10743
170,1,If you गिव में a free place I'll operate as official weatherman on day on your behalf haha !! (& ,38950
171,0,केसी लोग हो ap yr लोग तुम्हे पाकिस्तान का मुस्तक्बी केह के फिर रही और उसी मुल्क के बन्दों को गालियाँ दो gy Shame yrr ,12785
172,1,अगर किसीका के नाम से entertainment करके कोई अपना पेट भरते ह तो उसमे बुराई नहीं ः बोहोत sare com  ,17244
173,0,RT Rail मंत्री जी तत्काल वल ticket per charges 75/- क्यों लगता है ये सरकारी लूट बंद होनी चाइये,29990
174,0,Wey या में vales madres y नेता नि सिक्वेरा lo intentes,25861
175,1,Gaze मूवी बनाई गई मोदी लव Dolly class fifth की कहानी,33081
176,1,Grad Walk at !! Kids are very excited to see and सैम Yeto graduating seniors in the  ,16812
177,1,इस it possible ?? सभी सिचाती को दखने के बाद ंद साड़ी logical chz ke result को जाँणे के बाद ऐसा होना चा  ,15664
178,2,ordinance ko टेअर करना bhi dictatorship hi थी . हार को मानिये और मेहनत करके आगे बढे नहीं तो पता नहीं फिर क्या होगा,30624
179,2,Work hard you will come back strongly Allha has plan for यु इन्शाल्लह you will rock best wishes for यु,37106
180,2,प म इंडिया श्री नरेन्द्र मोदी जी को प म बनने पर बहुत बहुत बधाई हो k क patel Advocate faizabad मब no 9838789347,20437
181,0,What नॉनसेंस पहले श्रेनु ko  ,18938
182,1,रत फेक love worse than real हेट,24194
183,1,Starr इन गढ़ों को बताओ ओबामा ab president president नहीं है और उसने बधाई सन्देश भी नहीं भेजे,16052
184,2,सर में सिर्फ आपका ही news channel देखता हो बिकॉज़ आपका channel always सचि न्यूज़ देखता है,22350
185,1,समय समय की बात ही राठी अब ispr कच बोलने की हिम्मत बस  ,9187
186,0,कोई फ़ायदा नहीं भैया यह चूतिये automated message ही भेजते रहेंगे .,23489
187,2,RT Sparklers Ms . होक and Mrs . Koistinen are retiring ! What a blessing they have been to us at SME ! थैंक you for all you ’ वे दोने दो ,6838
188,1,tintin - lindsay ( freaks न geeks ) - ी लव her - would die for her - just so कूल - literally minds her own busines  ,32635
189,0,Congress पार्टी भी मीडिया बालो को धमकी देते the . खुद का जब government tha .,25888
190,0,ा मिर्ज़ा क्यों मतलब इंग्लिश जुबां में दुआ करते हैं उनकी दुआ कबूल नहीं होती हद हो गयी है अल्लाह to un  ,30450
191,0,30000 से जायदा BJP fake व्हात्सप्प and websites advertiser's heir करके रखे है हूत मोदी तुजसे ये उम्मीद न थी,22605
192,1,Satpute Awaaz घई Can we buy at this level,3570
193,1,Khan सब को मोदी ne इस लिए नहीं बुलाया क अगर खाँ सब आजाएंग तो इंडियन मीडिया मोदी कोछोर कर खा  ,41232
194,2,हैप्पी बर्थडे प'फ्लूक !! I विश यू अ गुड हेल्थ खराब मोरे PROJECTS TO कए न हैवे अ लाइफ फुल ऑफ़ बॉंटी मोरे  ,13198
195,1,देश मे करीब 20 crore मुज़लिंस है and को पुरे देश मैं सिर्फ 12 crore votes mile .... मतलब वंहा भी वो  ,15967
196,2,For में थे Best moment was when Prithvi Singh सयस - लौंडा सीरियस ः .. Totally loved it  ,9323
197,2,i swear this person is माय फव वाल्ला i ’ m nothing without her in my लाइफ i ’ म really grateful to have her as my sist  ,10337
198,2,आपने काम किया है इससे कोई इंकार नही कर सकता लेकिन आपको वोट इसलिए नहीं दिया क्यूंकि आपने इतने galat decisi  ,9341
199,2,RT एक्स्ट्रा बिग . पारंग पगममह को सकंय . हाहाहा आईएईए . लव यू ने Z ! ,45057
200,0,थोड़ा सा औकात देख लेना चाहिए अपना ... ! तुझसे तो का कुछ हो नहीं सकता बस . Fuc * king  ,27797
201,1,हमे गर्व है कि श्रीमान पं मोदी जी जैसा es new hindsthan को सब का साथ सा  ,8642
202,2,ये क़ानून - े-फितरत है Social System जो खुदा न डिज़ाइन किया इस म मर्द को ही आगे चलना है वो dun  ,9329
203,1,RT तासीर हैप्पी बर्थडे to your Shaheed बाबा Who spread the message of humanity Being a great human ,15582
204,1,ड्रमेबा येह थेय want power . Anyway your msg for the ढोंगिस is perfect,8206
205,2,Hahahaha ... अल्लाह ऐसे मौलाना साहब से कौम की हिफाज़त फ़रमाई .. ये मुद्दे उठाने नहीं  ,3197
206,0,ो कुत्ते क बच्चे तुम तो हो ही हराम खून और ज़ना की औलाद तुम से Pakistan k topic पे किआ debate,19159
207,0,सोनु बीजेपी ने more than 15 टिकट्स दिए थे एक को भी वोट न दिया तुम लोगो ने वोट doge cong  ,1132
208,2,Am Mowglu Mere रोने से मेरी माँ बहुत खुश थी मेरे रोने से मेरी माँ बहुत खुश थी जब मैं प्  ,20234
209,0,कभी अपने पैसो से भी सैफई में रैंडी नचवा देते तोह ऐसा नहीं होता हमेशा सरकारी माल उड़ाने से  ,38348
210,1,बिकॉज़ eid is around the corner . I can't wait to बुय प्यारी प्यारी colourful choorian myself,25280
211,1,स्वराज 1 आप अपनी भसा पे सयम रख  ,24029
212,1,अब ये बताएगा . इससे पूछो तेरे जियने बी मला है उसमे से गिना हिन्दू मला कौनसा है तेरी मुस्लिम आबादी वाले गाँव  ,591
213,1,RT commander8 Ladkiyan सिगरेट पीती हुई कितनी attractive लगती ह,16289
214,1,चाहये इन का हिसाब अल्लाह पाक खुद करय ga इन्शाल्ल .. पहले ी thought k शिया are those peop  ,35703
215,2,व this the spirit अंजलि वैसे इसका हल भी धोबी का कुत्ता जैसी है अभी ये किदर के भी नहीं रहे,25889
216,0,आज के टाइम me study boht महंगी होती जा रही ह agar study महंगी हो जाएंगी तो हम जैसे लोग पढ़ नहीं पाएंगे,18276
217,1,इसमें कहा पता लग रहा हे की ये मोदी / rss k लोग हे मतलब कोई हिन्दू किसी मुसलमान को मारे तो बीजेपी rss  ,19112
218,1,RT हाहाहाहा ित ’ s funny ‘ cause it ’ स true ,27339
219,2,ग्रेट to see you guys back,13890
220,1,ी just need all the Major all the time . Hehe ,2372
221,1,रहने दीजिये रुबिका जी बेचारा बड़ा educated aur knowledgeable लगता ह regarding social media,17808
222,0,तुम्हारी समझ से बाहर की चीज है .. अपने घुटनों पर ज्यादा जोर मत डालो and go to kitchen .,20315
223,0,lol मोदी ke interviews ः धोकेबा है मोदी,9555
224,2,BJP की 300 + सीट ane pr अगले 7 दिन GST registration free * माँ भारती // t . को / वत्बटाइगक,19384
225,0,इ वं ज़िन्दाबाद बीजेपी को कोई defeat nahi दे सकता चेहे जितना भ्रस्तक करो or murder politics में सब जायज है ,41535
226,2,RT अह्ह्ह थिस is so nice May Allah grant Salah and Mane everything in the next life जमीन As for in this life या Allah strip th ,14182
227,1,Ye जहालत नहीं तो और किया ही मासूम बच्चों को भी अदिस होरही ही HIV वबा की शक्ल अख्त्यार कर चु  ,29827
228,1,बकवास थेरे is so much love in friendship people forget that ,7703
229,1,Blockbuster series ki वाट लगाए गए इस को बाहुबली 3 में भी लेलो उसको भी फ्लॉप करवा देगा !!! ,20063
230,0,सर ये लोग रन्डी और भरूआ से कम नहीं है . ये सेल हरामी लोग देशद्रोह है . मै गलत word इसीलिए निकलता हुई  ,44779
231,0,तेरी ग कउ जलरी ह तुझे मतलब ? कट्रीना महा फुद्दु actress है और ये एडमिट करले,28270
232,1,by two me 100% employment hai by two even you can mail your resume मिल जाएगी आपको नौकरी,19200
233,2,बूत chootiyas लिखे you just keeps increasing ! बकचोदी बंद कर .,2877
234,2,RT by two Sindhi से तुम सांस लेने की हवा नहीं चुरा सकोगे .... फ़ांस तो दूर की बात है .,8940
235,2,सर आप की कड़ी मेहनत से ये मुकाम प्रदेश और देश को मिला है प्रणाम है आपको राजीव Mishra Maharaj BJP Uttar Pradesh,3438
236,0,Pakistan ke captain ki statement सच साबित हो रही ह पहला ही match बुरी तरह से हार गयी ... सही कहा था सरफराज  ,14498
237,1,RT ु दो things for पप्ल ु adore because ु जस्ट want to . it's not a transaction . it's not give & टेक . ु दो because it's what ु र सु ,577
238,2,तू खेलना छोड़ देगा हम देखना छोड़ देंगे वे लव uh infinity ,26081
239,0,भी इसके ज़िम्मेदार वो हरामी मौलाना और algaowadi neta ः जो अपने बच्चों को फॉरेन में p  ,13240
240,0,ऑफ़कोर्से . नॉट हराम खोर unlike ur leaders . Certified chor,39403
241,0,अंकल आप को चूतिया बनाया गया ह ... ये video doctored ः ...... आपके मोदी प्रेम को देखते हुए .. आपको भेजे गए  ,14078
242,1,RT Walking the path of humanity as shown by Saint Dr . Gurmeet Ram रहीम Singh जी इंसान the Dera ,15839
