,index,Label,Text
30,61,0,@LmRajpt @imjadeja @RoflGandhi_ Madarchod Randi ke bache ..gali kisko de rha hai...gand phar dunga bharve....bhosrike aukat me reh....
31,63,0,Bollywoodians are madarchod ye to kai saalon se bata raha hoon main tum logon ko. https://t.co/2tFNvDDe25
32,65,0,@ElCrankoPunko cranko madarchod you unfollowed me tu dekh ab kya karta hun main
33,67,1,@M_walim @ICC @imVkohli @AnushkaSharma Teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod
34,69,0,@OfficeOfRG Rafel Deal Rafel Deal Rafel Deal... Tum madarchod Congressio ke raj mai fighter deal kyu nahi hue?? Chu\xe2\x80\xa6 https://t.co/PjvpGURUuz
35,71,0,"@SaniyaChatterje Saniya, must say you are most madarchod randi on twitter...cum ki pyassi...abtak na jane loundo ne\xe2\x80\xa6 https://t.co/0iFjBqmb3W"
36,73,1,"@girishalva @garuna73 I never donate to any madarchod hindu priests, they are chors."
37,75,0,@ManishTewari you madarchod in @incindia screwed Air India and still have audacity to question Government. Kya khate ho aur kya sochte ho \xe2\x80\xa6 https://t.co/2RRcR2QQCd
38,77,0,Is madarchod Sajid Khan ko Jayvijay se kya problem h . Khud ko to kuch aata ni uski performance ko bekar bolta h..\xe2\x80\xa6 https://t.co/dJxNCXHsyh
39,79,0,@sanjivbhatt teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwa...randi ka aulaaad madarchod
40,81,0,@Manan_13 @Nirmalogy @BhokalTweet Ambani supporter Madarchod mar ja
41,83,0,@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum Bhadva madarchod Bhakt ....
42,85,0,@updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarch\xe2\x80\xa6 https://t.co/aRTpVwrqw6
43,87,0,"@Shujaatsays Teri Ammi k sath first inning Virat khela tha, tb tu paida hua, aur tera abbu Abhi us result ka gum mana rha h madarchod \xf0\x9f\xa4\xa3"
44,89,0,@pbhushan1 @sanjaymanjrekar Oh the madarchod liberal manjrekar retweeted. Bhadwa congress ka dalal.
45,91,0,@PiranhaBlowjob Madarchod jalta hai mujhse ?
46,93,0,"@shailu_CA modi madarchod hai Na, maa ko khara' kar diya note ki line 96 yr old maa. Modi is harami chutiya PM"
47,95,0,@free_thinker teri ammi free ki raandi thi madarchod tu free ka thinker paida huwa..free mey hi randi devil ko chod\xe2\x80\xa6 https://t.co/5S9CPSLXQK
48,97,0,Kutte jite nahi madarchod dusro ko bhi nahi Jeene deti
49,99,0,@LmRajpt @imjadeja Teri maa ka bhosra ..bharve ki aulad ...madarchod...aukat me rahe ..nahi gand phar dunga ..bharve
50,101,0,@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh abe madarchod bhagode multi starrer ese to daava me b Naseer ka equal r\xe2\x80\xa6 https://t.co/IDVhjy72V3
51,103,0,RT @niralsoni: Madarchod kya chahta hai https://t.co/9fLcKJ4fxI
52,105,0,@ShankhNaad @PetaIndia @ChouhanShivraj Kis madarchod ki he giri hui harkt
53,107,0,@BuddhadevMurum1 @ColorsTV Madarchod shilpa randi rona band kar
54,109,0,"@Shujaatsays Madarchod , bhenchod bsdk bhikhari Jihadi Porkistani \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 aab theek"
55,111,0,@rssurjewala Abe chup chutye ye to congress bhi kar sakti thi  madarchod ahmedabad me aake marunga apna kam kar
56,113,0,@RavishKumar_ @shuklapinku @rajnathsingh @BSF_India Bhag madarchod
57,115,1,Bhak Machod Mullo Ke Abbu  @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty\xe2\x80\xa6 https://t.co/K1pRnRhz0V
58,117,1,@_R_aHu_L_ @Mk56Kaur bhadwe ki aulad ho tum sale madarchod ki wajah se ye zait failta hai hindu muslim ka bhen ke t\xe2\x80\xa6 https://t.co/nbdEzBGmu1
59,119,0,Madarchod why did your mom meet @narendramodi in GB Road and get screwed by her. https://t.co/mSfNGZfoI1
60,121,0,@_R_aHu_L_ kyu ki ye tere bap ka nay hai tweeter madarchod bhosdike teri ma hogi zopdi wali bhen ke lode nikal yaha\xe2\x80\xa6 https://t.co/Z4jafVFx1w
61,123,0,@NaamHiKafiHay Terrorist Madarchod humse baat karta hai
62,125,0,@aajtak @TheHurera Madarchod he SAALA
63,127,0,@MallikaDua randi ki beti madarchod baaap se chuda moti bhains
64,129,0,@ikillukillwekil @Kalpeshco1 @sardanarohit Madarchod chutiya tum ho sale
65,131,0,Katra hotel owners madarchod hote hain
66,133,0,@sanjivbhatt teri ammi ko @ShatruganSinha se chudwa madarchod minus minus plus hota hai dimaag thikaney aajaye kahi\xe2\x80\xa6 https://t.co/kE2ZjNv1FL
67,135,0,@futbolpogs Narad muni Hai Madarchod
68,137,0,@RoflGandhi_ @Maddy_Shaab @sambitswaraj MADARCHOD KARAMFOOT GAANDU father of Congress..
69,139,0,"@KRKActor1 abe Behsaram madarchod madarjaat tu abhi tak mara nahi, tu to suiside karne waala tha kutte harami madarchoddddddddddddddd???????"
70,141,0,"RT @ShrrinG: When any Virtue Signalling Chutiya comes to your TL, grab his collar and say They are not playing by any rules .. saala baap ko sikhata hai t's a FUCKI\xe2\x80\xa6"
71,143,0,Sab madarchod Neta hai.sb..
72,145,0,@narendramodi177 @narendramodi arrey madarchod ky bacchey terko inko congrates karney ka time hain but ek tweet kar\xe2\x80\xa6 https://t.co/fza9YOu96m
73,147,0,@Beingdaring1 @mannkakhiladi @_EternalSalman_ Chal is baat me tu Zaira waseem ki Tatti kha le hutiye...WARNA ek baa\xe2\x80\xa6 https://t.co/AyEdxdA7j3
74,149,0,Madarchod https://t.co/9fLcKJ4fxI teri kon sunega
75,151,1,@NaamHiKafiHay Teri maa Randi Madarchod Saale Pakistani
76,153,0,@gautamrockzzzzz @BiggBoss Madarchod.. Tera ghar ka nahi khati hai voh chutiye..
77,155,0,@KyaUkhaadLega I m agree with you.. Behanchod madarchod log h bhosdi wali log.. Gali se hi baat smjjhane kaa \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c
78,157,0,@arunl97 @aipatel_55 @ManavDoshi2002 @INCIndia @FitchRatings madarchod choro hindustan chodo
79,159,0,@dasraghubar madarchod tum vote ke liye apne bet I  tak ki dalali kar sake ho
80,161,2,@mukkigirl @MulloKeAbbu @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty @AmMi @laudeya @madarchod Ok
81,163,2,RT @Bhak_Machod: @mukkigirl @MulloKeAbbu @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty @AmMi @laud\xe2\x80\xa6
82,165,0,@karanjohar @AnushkaSharma @imVkohli Tu madarchod haii...... Dosti ke namm par Sala dhoka deta hai
83,167,0,Madarchod fawad ko toh try ball khelaya gya tha. Usey hi tum log first inning samjh liye. Grow up morons. Bhabhi se\xe2\x80\xa6 https://t.co/nTLmvxswmM
84,169,0,"@yuva_raj3091 @Ranidreams @ROMI13343316 Ye bahenchod, achhe khase Lund ko bekar karenge... itna bada risk le rahe hain..."
85,171,0,RT @is_enticing: kya zindagi h yaar bahenchod.  \ndimag khrb. \ng m sb k sb.  \ngood night.
86,173,0,RT @lil_unsteady: Ladke wale: kya karti hai aapki beti?\nLadki k papa: Twitter par logo ko bahenchod bolkar gender equality me apna yogdan d\xe2\x80\xa6
87,175,0,kya zindagi h yaar bahenchod.  \ndimag khrb. \ng m sb k sb.  \ngood night.
88,177,0,RT @AditShinde2: @BenafshaSoona Abe Bahenchod kuch To Sharam Kar San Be Dekha Hai \n\n#FixedWinnerShilpa
89,179,2,RT @dilwala_SRK: @ISrkfanOnly @SRKsRider @SRKswarrior1 @being_tiger_ HNY k time pe 15000 kamaya tha maine..is baar payment nahi de rahe hai\xe2\x80\xa6
90,181,0,@BiggBossNewz Ache Se Dekh Le Bahenchod https://t.co/1Smek5Fcl4
91,183,0,MADARCHOD LOG \n\nBAHENCHOD LOG\n\nRAT KO MOTORBIKE ME SE PETROL \nCHURANE WALE LOG
92,185,0,@airtelindia bahenchod..\n Why getting lots of ad in your Wynk music app. Pure mood ki maa behen kr dete h ...
93,187,0,"@Robin_GoodX they don\'t know there is a word called ""BahenChod"""
94,189,0,@Bas1King \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c Acha reply diya ladkiya khe rahi Bahenchod jab itna normal hai to maal khe diya to kya galat Maal h\xe2\x80\xa6 https://t.co/6xbWS1cIlU
95,191,0,@justinlouisbrad @beersbiebs Bahenchod. Aaukad mein rah.
96,193,0,"RT @Bakchod_Choro: Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De"
97,195,0,"@KenRoth U idiot, what d fuck ur fucking human rights watch z watching in Baluchistan? U motherfuckers shd close ur\xe2\x80\xa6 https://t.co/usrCp7pEat"
98,197,0,Anushka: baby tum mujhe shadi bad kis nam se bulao gey?\n\nVirat: bahenchod\n\n#VirushkaWEDDING
99,199,0,@AvijitEmmi Bahenchod .... experienced lagte ho bhai bhot\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82
100,201,0,@behenchodabhay @sarita_beta @parvatikhan2 @shikhaask5 Bahenchod sale bra nahi mangege tere bahen ki chuchi masal k\xe2\x80\xa6 https://t.co/iQB05N44Qd
101,203,0,Or koi gaali bhi nahi dega bahenchod\xf0\x9f\x98\x82 https://t.co/Zr3wbRywm3
102,205,0,@Mehreenansari95 @ColorsTV @JJROCKXX @eyehinakhan Yeh Dekho Bahenchod Ko Fake Id Chala Raha Hai
103,207,2,RT @is_enticing: chalo acha h tumhare dost tumhare birthday ka countdown kar rahe h.\nbut iska mtlb yeh thodi h ki uska ss le k tum story da\xe2\x80\xa6
104,209,0,@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata nahi aise sanghi kutte ko bha\xe2\x80\xa6 https://t.co/n2PLeOgW0v
105,211,0,RT @mdawaisi92: Anushka: baby tum mujhe shadi bad kis nam se bulao gey?\n\nVirat: bahenchod\n\n#VirushkaWEDDING
106,213,0,@vishalIncest Bahenchod sale bra nahi mangege tere bahen ki chuchi masal kar sAli ko ghutno par bithuga n kutiya ba\xe2\x80\xa6 https://t.co/l77siKqVIk
107,215,0,@deep_tejani @BiggBossCritic1 Are Bhai Apne Bahen Ka Nhi Banaya Kya Uska Bhi Bana Ke Dalna Tha Na Bahenchod Naale Me Paida Hua Kya
108,217,0,"Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De"
109,219,0,@BenafshaSoona Abe Bahenchod kuch To Sharam Kar San Be Dekha Hai \n\n#FixedWinnerShilpa
110,221,0,"RT @The_Sonu_Gujjar: Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De"
111,223,0,"Bahenchod this is the saddest thing, girl ready to do anything to help a guy sleep \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1 https://t.co/3rd25Wf7QS"
112,225,0,@OfficeOfRG Bahenchod 65 saal TK apni maa chudwa rahe the tum log
113,227,0,"@OfficeOfRG maadarchod tu dusaro ko chhod, tujhe gandhi family ka aisho-aaram mil raha hai. bahenchod dusaro ki fik\xe2\x80\xa6 https://t.co/JGPOSYKJXl"
114,229,0,@DrGPradhan Bahenchod laal chaddi goons
115,231,2,Badir just announced their funding statistics for their emerging startups in Saudi Arabia\nhttps://t.co/si2Cq9KVcx\n#Startup #News #Tech
116,233,0,"@attorneybharti @ArvindKejriwal Saala Bhadva Chandi ke Mukut dene waley ki shaadi me hi jata hai,isliye log ko pata\xe2\x80\xa6 https://t.co/0XyCk8onXP"
117,235,0,@rohanrgupta bhadve @TodaysChanakya ne teri bhadva giri sabko bata di #Shame
118,237,0,RT @BehalPushkar: @TheKaranPatel Neem ka pta kadva hai karan patel bhadva hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 abbe chaman chuti*e apni izzat kyu utarvane pr tulla hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82
119,239,0,RT @APSodha1: @SirRavishKumar Bhadva jnta party \nBjp nhi \nSale kutto
120,241,0,Lukachut bhadva
121,243,0,@girirajsinghbjp Aese bhadva logo ko mind Me nahi leneka ae Pakistan jake sarkar girane ko bolta tha ae dalal he
122,245,0,@ashish_tiwtter AAmir Khan the great Bhadva immediately started speaking when Jihadi Zaira got touched. But he never speaks for Hindus.
123,247,0,@shaileshkap @HimanshiKunwar1 @jigneshmevani80 tu up bihar ka bhadva hoga jise gujarati me kadva kehete he ab to sa\xe2\x80\xa6 https://t.co/drD3fgfI2Y
124,249,0,@ZahirAdvocate @Anmol_77 Pakistan bhadva hai
125,251,0,@ChooseGudPerson @amitkumar13557 @Brijesh88220727 @AAP_Germany bhadvas started to Bark. AAP the great bhadva party.
126,253,0,@KaziArshadHusai Haa tu Rahul  ka ghu khata hai \nPata hai sab ko \nGandi nali ka kida bhadva
127,255,0,@BiggBoss  kickout Arshi chhinal and vikas bhadva
128,257,0,@IndiaToday @cheteshwar1 Large number mein ayengey to BJP ko vote karengey aur is se @sardesairajdeep ki Gaand nahi\xe2\x80\xa6 https://t.co/ae3jCvT80n
129,259,0,@patel_ronik @OfficeOfRG Hindi nai aati to ma ch***vane aaya he politics me... sala bhadva .. samjate pappu tere perie ko
130,261,0,@ShakeelSabhasad @News18India Aur Chatne wale ko kutta chatukar...\nBhakt hai to sahi kam se kam dalal bhadva kutta\xe2\x80\xa6 https://t.co/QwYcYMKho9
131,263,0,@laluprasadrjd Aur wo Bhadva hai Lalu Prasad \nSaala.ko thappad maar ke theek karo
132,265,2,@DaaruBaazMehta @ArvindKejriwal @ManojTiwariMP @BJP4India That fellow Tiwari must be getting part of the loot from\xe2\x80\xa6 https://t.co/WLkkxdrihT
133,267,0,@OfficeOfRG To for 60 sal tak kya Kiya? Jo ab bevakuf banane nikala hai murkh bhadva
134,269,0,@News18India @sambitswaraj abe bhadva kanhiya kutte gaddar sale pakistani kutta dalla
135,271,0,"@SabooVikas @PMOIndia @narendramodi A re MANIA TUH  NICH HAI ,MODISAHAB KO LAKER TERI GAAND MAIN JALAN HO RAHI HAI\xe2\x80\xa6 https://t.co/rl9PWU2Pbl"
136,273,0,@BJP4India @narendramodi Kapil Sibbal ko Border pe Ulta Latka k itne CHHED kare ki Uski Randi-Maa  b pehchan na sak\xe2\x80\xa6 https://t.co/y2nlVEpA98
137,275,0,@ManiAyeSir  sorry agar me kuch gali likh du to kyuki Mera Hindi thoda poor he..bhadva chutiya Gujarati o ko gali deta he
138,277,0,@HardikPatel_ bhadva.. havaskhor 18 dec k baad tu gujrat me dikh nhi payega dekh lena kahi muh chupa k pada hoga bhadva harpik havsakhor
139,279,0,@EconomicTimes Bhadva ! M S Aiyar
140,281,0,@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum Bhadva madarchod Bhakt ....
141,283,0,Sorry Chakkichods I forgot to add Bhadva Owaisi. Count him too. :P
142,285,0,@HardikPatel_ bhadva
143,287,0,@Robins_patel07 @DesiStupides @smritiirani Aano Pan javab aapi de bhadva pavaya
144,289,0,Abe tu Dallal hai sale ........bhadva hai tu congress ka Gandu manishankar..
145,291,0,@htTweets Congress ka bhadva he tu... Madrchod
146,293,0,@TheKaranPatel Neem ka pta kadva hai karan patel bhadva hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 abbe chaman chuti*e apni izzat kyu utarvane pr tulla hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82
147,295,0,@tehseenp Randi chodne wala bhadva aagaya
148,297,1,@AHIRE40 @Bhimdev101 @SquareGas @ChandreshT @ANI Aur yeh nikla paki bhadva hindu naam istamal karte hue.abey katve\xe2\x80\xa6 https://t.co/8loGd9E4I4
149,299,0,@laluprasadrjd Bhadva vo khali tu hay. Tihar KI tyari KAR. BAKI Sara India safe hay.tune life me ek hi KAM achha ki\xe2\x80\xa6 https://t.co/t8ayvWifoW
150,301,0,@majestic_bhara @sambitswaraj @republic Anurag bhadva rahul tera baap hai
151,303,0,@Ahmad_Shakeel Ye bhadva miljaye uski..maa chod du
152,305,0,#PMSupariAttack\nSach kadva hai manishanker Aiyyer pakistan ka bhadva hai\nSorry I don't know Hindi or any other language
153,307,0,@sardanarohit @aajtak Bhadva congress
154,309,0,@Sahil_Adhikaari Jhatu hai saala bhadva
155,311,0,@TimesNow @Shehzad_Ind @tehseenp Tu bhadva he bilkul tujme dimaag nhi
156,313,2,RT @HukkaKing1: @GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Alfaz hai mera kadva\xe2\x80\xa6
157,315,2,"@gadgil_rajesh He does not have guts in his balls. He is loud mouth. Creater of stories, fake cds and what not. He\xe2\x80\xa6 https://t.co/nnvRVLurp2"
158,317,0,Michael Oliver mkc teri bhen ke lode gandu sala chutmarika bhadva
159,319,1,@ZeeNews @RubikaLiyaquat Yes muslimo ki gand hindu jab marenge to ye harami owaisi hi uske liye jimmdar hoga...ya b\xe2\x80\xa6 https://t.co/1UWeez1S7X
160,321,2,@srirambjp @narendramodi It is the mindset issue. Congress wants to induct AAP leader Sangeeta Chandpa recently. Sh\xe2\x80\xa6 https://t.co/ScOE67XmEk
161,323,0,@asadowaisi This Bhadva jantha party is appreciating a person who brutally killed a poor citizen. \n\nhttps://t.co/IH9uM0D8Jf
162,325,0,"@KilaFateh @retheeshraj10 @TajinderBagga Abe ye tere Ko 'bhadva' bol Raha hai, mar sale Ko \xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9 @RoflGandhi_"
163,327,0,@gumnaamsa Ye bhadva ladkiyo ko dhamkata h gake ss bnata h jo isse pat nhi rhi h
164,329,0,#ManiShankarAiyar sala bhadva Gujarati o ko gali deta he chutiya
165,331,0,@ANI @INCIndia Aur @OfficeOfRG ka ek aur bhosdika Bhadva apna suar gaand mukh se bola.
166,333,0,@HardikPatel_ Loda madarchod pikina bhadva
167,335,2,"@ShekharGupta IF IT SHOWS RAHULBABA VISITING TEMPLES TO TEMPLES, KUMAR KETKAR HAS NO PROBLEM. BUT IS TV SHOW WHAT P\xe2\x80\xa6 https://t.co/X9QjGkQufD"
168,337,0,@malviyamit @Anirudh_SR He is such a Bhadva
169,339,0,@jyotyshekhawat1 Q ki ye bhadva h
170,341,2,RT @DhanyakumarBPa2: @DaaruBaazMehta @ArvindKejriwal @ManojTiwariMP @BJP4India That fellow Tiwari must be getting part of the loot from the\xe2\x80\xa6
171,343,0,@vikas_gujarat @KamalAg87404755 @HardikPatel_ Modi ko gali dene walo aab jake pata chala ki hardik aek bhadva he wo\xe2\x80\xa6 https://t.co/4PVWqq8kdT
172,345,2,@sanjaiuwach @SkepticHindu @aaccheDin @tarsemkpahi @DrSaniaMaan @BhootSantosh @EpicRoflDon @BreakiNews\xe2\x80\xa6 https://t.co/xLrsCw5QeL
173,347,2,@GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Alfaz hai mer\xe2\x80\xa6 https://t.co/e2VfkEMXuM
174,349,0,@ManiAyeSir sala bhadva chutiya Gujarati o ko gali deta he... Sorry Yar Mera Hindi thoda poor he
175,351,0,@republic @KapilSibal @pbhushan1 Kanoon ka badnaam Bhadva kal bakchodi raha tha wo Sunni board ka wakeel nahin?\nRep\xe2\x80\xa6 https://t.co/gix44ZOPJd
176,353,1,"@Alikhansdaring @AdibaDare @Janbaazk707 @taslimanasreen kaye ko gaali de usko, chodthe Allah ke upar. ye musalmano\xe2\x80\xa6 https://t.co/dQCFcDG6aN"
177,355,2,RT @Irfan7867863: @sanjaiuwach @SkepticHindu @aaccheDin @tarsemkpahi @DrSaniaMaan @BhootSantosh @EpicRoflDon @BreakiNews @RaajnathSing @neo\xe2\x80\xa6
178,357,0,RT @dinesh38: #ManiShankarAiyar sala bhadva Gujarati o ko gali deta he chutiya
179,359,0,@ZeeNews Kya Dallo ab ye bhadva desh ka sanman kar raha he??????
180,361,0,"@ArvindKejriwal Khujli bhikhari tatte, jhantu ka reporter, liar aur Jhantu aadmi party news, RNDTV ko chhodkr kabhi\xe2\x80\xa6 https://t.co/BwQyiIEzhd"
181,363,0,@ManiAyeSir  sorry agar me kuch gali likh du to...Mera Hindi thoda poor he...bhadva .. chutiya ki aulad Gujarati o ko gali deta he
182,365,2,@sonalichauhan1 @HukkaKing1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Koi nhi parwah\xe2\x80\xa6 https://t.co/qE3UZW2aiJ
183,367,0,@SirRavishKumar Bhadva jnta party \nBjp nhi \nSale kutto
184,369,0,@jigneshmevani80 Vo sub congress ke bhadve hay. To ZAKIR KA bhadva hay Dhede Bhegiye T...saf karte hay CHUnav nahi ladke.
185,371,0,@abpnewshindi @narendramodi apna dekh na dogle \nsher ke ghar bhadva paida hua hai \nhindutva wali party Modi virodh\xe2\x80\xa6 https://t.co/NrKBWTYXag
186,373,0,@htTweets Sarkar ke Rs.  Study Karne Vala Aj congress ke kuch feke huve tukde pe mujra Karne Vala Bhadva he.... Kanaya
187,375,2,@GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Neem ka pata\xe2\x80\xa6 https://t.co/XvUa3uVyRz
188,377,0,"@ManiAyeSir you are the ugliest hole one can have. Chutye marja, tere bap ne guma kiya tuje peda karke. Bhadva kahin ka\xf0\x9f\x98\x82\xf0\x9f\x98\x82"
189,379,0,@Ritz12389 @hallagullaboy @ManojTiwariMP @ArvindKejriwal Modi n that UP wala bhadva MP whats his name that maha chu\xe2\x80\xa6 https://t.co/XMxxnhKVnH
190,381,0,@avinash_kadbe @jitupatwari Bhadva h ye
191,383,0,"Neem ka patta kadva hai,\nMourinho saala bhadva hai.\nSatan lost, we celebrate."
192,385,0,@v_vverma23 @being_delhite or vo bhadva kejriwal pig ki tatti khane wala? or aaprtars uski kkame wale...
193,387,0,@Nargisbano25n @DrRizwanAhmed1 Tu bhotnike\nTera baap bhootnika \nTeri maa bhootnike\nTera pura khandan bhootnika
194,389,0,@Iamshiyad @rakeysh_tweets @DilliDurAst Hahaha bhag gaya bhootnika.
195,391,0,RT @soitbedone: @SaniyaChatterje muh khol chinaal https://t.co/MgWnknCkYA
